site,organism,drug,raw_auc,raw_aupr,matched_auc,matched_aupr,stratum_centered_auc,pairwise_accuracy,pairwise_comparisons,matched_retention,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
A-2018,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.7426860314678019,0.508530796519158,0.6323825503355704,0.1846393185273881,0.5319211409395973,0.6784504657070279,9448,0.7959949937421777,799,147,636,40,3,3,3,False
A-2018,Klebsiella pneumoniae,Cefepime,0.8963869132290185,0.669684888462625,,,,,0,0.0,728,25,0,0,0,3,3,False
A-2018,Klebsiella pneumoniae,Ceftazidime,0.8090016103059582,0.6050433781863437,0.20833333333333334,0.6762649387649388,0.20833333333333334,0.20833333333333334,48,0.020512820512820513,780,90,16,12,1,3,3,False
A-2018,Klebsiella pneumoniae,Ceftriaxone,0.8036204401417236,0.6642660668478906,0.5,0.1420634920634921,0.5,0.5,72,0.03345724907063197,807,116,27,3,1,3,3,False
A-2018,Klebsiella pneumoniae,Ciprofloxacin,0.7881154671645013,0.5085775232524034,0.7953853775921863,0.48307153351394744,0.633850001179607,0.6646210931925217,14014,0.8455696202531645,790,117,668,71,5,3,3,False
A-2018,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.7384130793460327,0.24836962302432516,0.6133004926108374,0.568350457756489,0.5307881773399015,0.5438144329896907,388,0.0773405698778833,737,59,57,29,2,3,3,False
DRIAMS-B,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.33110119047619047,0.10570374968907503,,,,,0,0.0,149,21,0,0,0,3,3,False
DRIAMS-B,Klebsiella pneumoniae,Cefepime,0.44328358208955226,0.10214117634103567,,,,,0,0.0,149,15,0,0,0,3,3,False
DRIAMS-B,Klebsiella pneumoniae,Ceftazidime,0.3713784021071115,0.09504859272256957,,,,,0,0.0,151,17,0,0,0,3,3,False
DRIAMS-B,Klebsiella pneumoniae,Ceftriaxone,0.4043020193151888,0.1019008218059889,,,,,0,0.0,151,17,0,0,0,3,3,False
DRIAMS-B,Klebsiella pneumoniae,Ciprofloxacin,0.5777777777777777,0.17781728070917802,0.7631578947368421,0.12588183421516755,0.7631578947368421,0.7631578947368421,342,0.7905405405405406,148,18,117,3,1,3,3,False
DRIAMS-B,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.3762120232708468,0.18681271512721093,,,,,0,0.0,145,26,0,0,0,3,3,False
DRIAMS-C,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.6462427057282363,0.2735463099645154,0.5692307692307692,0.21915300382191114,0.4734265734265734,0.6234413965087282,401,0.3863013698630137,365,54,141,11,3,3,3,False
DRIAMS-C,Klebsiella pneumoniae,Cefepime,0.6492424242424243,0.4126397039336753,,,,,0,0.0,182,50,0,0,0,3,3,False
DRIAMS-C,Klebsiella pneumoniae,Ceftazidime,0.6790002450379808,0.31034898952800566,,,,,0,0.0,361,53,0,0,0,3,3,False
DRIAMS-C,Klebsiella pneumoniae,Ceftriaxone,0.6975738088278282,0.31177713809756874,,,,,0,0.0,366,55,0,0,0,3,3,False
DRIAMS-C,Klebsiella pneumoniae,Ciprofloxacin,0.7017470300489168,0.27467816790293104,0.724308300395257,0.14562254389947898,0.633893280632411,0.6304945054945055,728,0.5371900826446281,363,45,195,11,3,3,3,False
DRIAMS-C,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.665389527458493,0.3365258840038839,0.4772727272727273,0.8705641767681501,0.4772727272727273,0.4772727272727273,88,0.1511627906976744,172,27,26,22,1,3,3,False
DRIAMS-D,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.6122484033118573,0.16209530289936655,0.5448202800797363,0.07659782285610742,0.48364529919887667,0.41825396825396827,25200,0.9321245932124593,2151,142,2005,83,6,3,3,False
DRIAMS-D,Klebsiella pneumoniae,Cefepime,0.6465964740450538,0.1436342947070393,0.3958333333333333,0.8320318763623717,0.3958333333333333,0.3958333333333333,48,0.009125840537944284,2082,40,19,16,1,3,3,False
DRIAMS-D,Klebsiella pneumoniae,Ceftazidime,0.6228502077448669,0.16417004789062878,0.9285714285714286,0.9166666666666666,0.9285714285714286,0.9285714285714286,28,0.005128205128205128,2145,114,11,4,1,3,3,False
DRIAMS-D,Klebsiella pneumoniae,Ceftriaxone,0.6300331938230624,0.17069336559398474,0.6503137478608101,0.0872619231999075,0.4244152880775813,0.5151169423844837,5259,0.8177591817759182,2151,123,1759,6,2,3,3,False
DRIAMS-D,Klebsiella pneumoniae,Ciprofloxacin,0.5869158418279411,0.12561762198281934,0.54902700320377,0.07544944258143971,0.4981396097842117,0.5525872422045774,115741,0.9643196955280685,2102,168,2027,124,6,3,3,False
DRIAMS-D,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.5975668277910431,0.18563961157464912,0.5621378337817475,0.12022675751775709,0.5260246340969964,0.5541148914812393,131498,0.9534450651769087,2148,223,2048,177,7,3,3,False
